"ID";"RegioS";"Perioden";"BevolkingAanHetBeginVanDePeriode_1";"LevendGeborenKinderen_2";"Overledenen_3";"TotaleVestiging_4";"VestigingVanuitEenAndereGemeente_5";"Immigratie_6";"TotaalVertrekInclAdmCorrecties_7";"VertrekNaarAndereGemeente_8";"EmigratieInclusiefAdmCorrecties_9";"OverigeCorrecties_10";"Bevolkingsgroei_11";"BevolkingsgroeiRelatief_12";"BevolkingsgroeiSinds1Januari_13";"BevolkingsgroeiSinds1JanuariRela_14";"BevolkingAanHetEindeVanDePeriode_15"
"107440";"GM1714";"2010MM12";"   24004";"      12";"      27";"      40";"      20";"      20";"      45";"      28";"      17";"      -5";"     -25";"   -0.10";"    -110";"   -0.46";"   23979"
"107441";"GM1714";"2010JJ00";"   24089";"     176";"     292";"     676";"     461";"     215";"     665";"     490";"     175";"      -5";"    -110";"   -0.46";"    -110";"   -0.46";"   23979"
"107442";"GM1714";"2011MM01";"   23979";"      25";"      23";"      83";"      52";"      31";"      77";"      51";"      26";"";"       8";"    0.03";"       8";"    0.03";"   23987"
"107443";"GM1714";"2011MM02";"   23987";"      19";"      23";"      47";"      26";"      21";"      55";"      40";"      15";"";"     -12";"   -0.05";"      -4";"   -0.02";"   23975"
"107444";"GM1714";"2011MM03";"   23975";"      16";"      32";"      66";"      26";"      40";"      42";"      33";"       9";"";"       8";"    0.03";"       4";"    0.02";"   23983"
"107445";"GM1714";"2011MM04";"   23983";"      14";"      22";"      71";"      37";"      34";"      61";"      45";"      16";"";"       2";"    0.01";"       6";"    0.03";"   23985"
"107446";"GM1714";"2011MM05";"   23985";"      17";"      27";"      65";"      43";"      22";"      49";"      40";"       9";"";"       6";"    0.03";"      12";"    0.05";"   23991"
"107447";"GM1714";"2011MM06";"   23991";"      14";"      31";"      65";"      46";"      19";"      50";"      42";"       8";"";"      -2";"   -0.01";"      10";"    0.04";"   23989"
"107448";"GM1714";"2011MM07";"   23989";"       9";"      20";"      82";"      43";"      39";"      57";"      41";"      16";"";"      14";"    0.06";"      24";"    0.10";"   24003"
"107449";"GM1714";"2011MM08";"   24003";"      11";"      32";"      77";"      49";"      28";"     114";"      85";"      29";"";"     -58";"   -0.24";"     -34";"   -0.14";"   23945"
"107450";"GM1714";"2011MM09";"   23945";"      23";"      21";"      91";"      48";"      43";"     116";"     103";"      13";"";"     -23";"   -0.10";"     -57";"   -0.24";"   23922"
"107451";"GM1714";"2011MM10";"   23922";"      16";"      23";"      63";"      32";"      31";"      71";"      51";"      20";"";"     -15";"   -0.06";"     -72";"   -0.30";"   23907"
"107452";"GM1714";"2011MM11";"   23907";"      14";"      37";"      76";"      38";"      38";"      59";"      42";"      17";"";"      -6";"   -0.03";"     -78";"   -0.33";"   23901"
"107453";"GM1714";"2011MM12";"   23901";"      13";"      26";"      41";"      20";"      21";"      40";"      29";"      11";"       3";"      -9";"   -0.04";"     -87";"   -0.36";"   23892"
"107454";"GM1714";"2011JJ00";"   23979";"     191";"     317";"     827";"     460";"     367";"     791";"     602";"     189";"       3";"     -87";"   -0.36";"     -87";"   -0.36";"   23892"
"107455";"GM1714";"2012MM01";"   23892";"      14";"      33";"      85";"      51";"      34";"      63";"      46";"      17";"";"       3";"    0.01";"       3";"    0.01";"   23895"
"107456";"GM1714";"2012MM02";"   23895";"      13";"      27";"      92";"      40";"      52";"      58";"      47";"      11";"";"      20";"    0.08";"      23";"    0.10";"   23915"
"107457";"GM1714";"2012MM03";"   23915";"      19";"      30";"      58";"      28";"      30";"      52";"      46";"       6";"";"      -5";"   -0.02";"      18";"    0.08";"   23910"
"107458";"GM1714";"2012MM04";"   23910";"      12";"      16";"      54";"      35";"      19";"      49";"      38";"      11";"";"       1";"    0.00";"      19";"    0.08";"   23911"
"107459";"GM1714";"2012MM05";"   23911";"      14";"      24";"      60";"      36";"      24";"      49";"      26";"      23";"";"       1";"    0.00";"      20";"    0.08";"   23912"
"107460";"GM1714";"2012MM06";"   23912";"       9";"      15";"      79";"      50";"      29";"      42";"      26";"      16";"";"      31";"    0.13";"      51";"    0.21";"   23943"
"107461";"GM1714";"2012MM07";"   23943";"      15";"      19";"      88";"      49";"      39";"      53";"      41";"      12";"";"      31";"    0.13";"      82";"    0.34";"   23974"
"107462";"GM1714";"2012MM08";"   23974";"      17";"      20";"      71";"      32";"      39";"     109";"      97";"      12";"";"     -41";"   -0.17";"      41";"    0.17";"   23933"
"107463";"GM1714";"2012MM09";"   23933";"      21";"      25";"      79";"      49";"      30";"      91";"      66";"      25";"";"     -16";"   -0.07";"      25";"    0.10";"   23917"
"107464";"GM1714";"2012MM10";"   23917";"      19";"      25";"      79";"      41";"      38";"      64";"      41";"      23";"";"       9";"    0.04";"      34";"    0.14";"   23926"
"107465";"GM1714";"2012MM11";"   23926";"      13";"      40";"      58";"      35";"      23";"      53";"      33";"      20";"";"     -22";"   -0.09";"      12";"    0.05";"   23904"
"107466";"GM1714";"2012MM12";"   23904";"      12";"      39";"      71";"      49";"      22";"      61";"      38";"      23";"      -1";"     -18";"   -0.08";"      -6";"   -0.03";"   23886"
"107467";"GM1714";"2012JJ00";"   23892";"     178";"     313";"     874";"     495";"     379";"     744";"     545";"     199";"      -1";"      -6";"   -0.03";"      -6";"   -0.03";"   23886"
"107468";"GM1714";"2013MM01";"   23886";"      19";"      28";"      63";"      35";"      28";"      57";"      42";"      15";"";"      -3";"   -0.01";"      -3";"   -0.01";"   23883"
"107469";"GM1714";"2013MM02";"   23883";"      17";"      37";"      52";"      35";"      17";"      42";"      28";"      14";"";"     -10";"   -0.04";"     -13";"   -0.05";"   23873"
"107470";"GM1714";"2013MM03";"   23873";"      19";"      29";"      53";"      36";"      17";"      39";"      26";"      13";"";"       4";"    0.02";"      -9";"   -0.04";"   23877"
"107471";"GM1714";"2013MM04";"   23877";"      20";"      27";"      64";"      42";"      22";"      54";"      30";"      24";"";"       3";"    0.01";"      -6";"   -0.03";"   23880"
"107472";"GM1714";"2013MM05";"   23880";"      12";"      26";"      81";"      43";"      38";"      61";"      38";"      23";"";"       6";"    0.03";"       0";"    0.00";"   23886"
"107473";"GM1714";"2013MM06";"   23886";"      19";"      17";"      76";"      44";"      32";"      46";"      36";"      10";"";"      32";"    0.13";"      32";"    0.13";"   23918"
"107474";"GM1714";"2013MM07";"   23918";"      10";"      23";"      84";"      50";"      34";"      75";"      60";"      15";"";"      -4";"   -0.02";"      28";"    0.12";"   23914"
"107475";"GM1714";"2013MM08";"   23914";"      18";"      24";"      74";"      45";"      29";"     123";"     104";"      19";"";"     -55";"   -0.23";"     -27";"   -0.11";"   23859"
"107476";"GM1714";"2013MM09";"   23859";"      16";"      13";"      81";"      47";"      34";"     107";"      80";"      27";"";"     -23";"   -0.10";"     -50";"   -0.21";"   23836"
"107477";"GM1714";"2013MM10";"   23836";"      16";"      17";"      68";"      45";"      23";"      64";"      42";"      22";"";"       3";"    0.01";"     -47";"   -0.20";"   23839"
"107478";"GM1714";"2013MM11";"   23839";"      10";"      27";"      62";"      40";"      22";"      61";"      39";"      22";"";"     -16";"   -0.07";"     -63";"   -0.26";"   23823"
"107479";"GM1714";"2013MM12";"   23823";"      14";"      26";"      76";"      58";"      18";"      60";"      30";"      30";"      -7";"      -3";"   -0.01";"     -66";"   -0.28";"   23820"
"107480";"GM1714";"2013JJ00";"   23886";"     190";"     294";"     834";"     520";"     314";"     789";"     555";"     234";"      -7";"     -66";"   -0.28";"     -66";"   -0.28";"   23820"
"107481";"GM1714";"2014MM01";"   23820";"      14";"      26";"      60";"      37";"      23";"      68";"      43";"      25";"";"     -20";"   -0.08";"     -20";"   -0.08";"   23800"
"107482";"GM1714";"2014MM02";"   23800";"      13";"      25";"      59";"      31";"      28";"      47";"      34";"      13";"";"       0";"    0.00";"     -20";"   -0.08";"   23800"
"107483";"GM1714";"2014MM03";"   23800";"      16";"      23";"      57";"      43";"      14";"      54";"      34";"      20";"";"      -4";"   -0.02";"     -24";"   -0.10";"   23796"
"107484";"GM1714";"2014MM04";"   23796";"      15";"      28";"      75";"      36";"      39";"      64";"      39";"      25";"";"      -2";"   -0.01";"     -26";"   -0.11";"   23794"
"107485";"GM1714";"2014MM05";"   23794";"      20";"      24";"      61";"      38";"      23";"      52";"      40";"      12";"";"       5";"    0.02";"     -21";"   -0.09";"   23799"
"107486";"GM1714";"2014MM06";"   23799";"      24";"      24";"      71";"      47";"      24";"      79";"      30";"      49";"";"      -8";"   -0.03";"     -29";"   -0.12";"   23791"
"107487";"GM1714";"2014MM07";"   23791";"      24";"      28";"      88";"      43";"      45";"      75";"      49";"      26";"";"       9";"    0.04";"     -20";"   -0.08";"   23800"
"107488";"GM1714";"2014MM08";"   23800";"      15";"      18";"      66";"      39";"      27";"      79";"      51";"      28";"";"     -16";"   -0.07";"     -36";"   -0.15";"   23784"
"107489";"GM1714";"2014MM09";"   23784";"      11";"      20";"      82";"      49";"      33";"      97";"      76";"      21";"";"     -24";"   -0.10";"     -60";"   -0.25";"   23760"
"107490";"GM1714";"2014MM10";"   23760";"      17";"      26";"      76";"      39";"      37";"      74";"      51";"      23";"";"      -7";"   -0.03";"     -67";"   -0.28";"   23753"
"107491";"GM1714";"2014MM11";"   23753";"      16";"      23";"      59";"      26";"      33";"      58";"      34";"      24";"";"      -6";"   -0.03";"     -73";"   -0.31";"   23747"
"107492";"GM1714";"2014MM12";"   23747";"      14";"      30";"      73";"      49";"      24";"      64";"      43";"      21";"       7";"       0";"    0.00";"     -73";"   -0.31";"   23747"
"107493";"GM1714";"2014JJ00";"   23820";"     199";"     295";"     827";"     477";"     350";"     811";"     524";"     287";"       7";"     -73";"   -0.31";"     -73";"   -0.31";"   23747"
"107494";"GM1714";"2015MM01";"   23747";"      17";"      27";"      61";"      35";"      26";"      68";"      52";"      16";"";"     -17";"   -0.07";"     -17";"   -0.07";"   23730"
"107495";"GM1714";"2015MM02";"   23730";"      16";"      34";"      69";"      47";"      22";"      52";"      43";"       9";"";"      -1";"    0.00";"     -18";"   -0.08";"   23729"
"107496";"GM1714";"2015MM03";"   23729";"      12";"      41";"      67";"      50";"      17";"      43";"      22";"      21";"";"      -5";"   -0.02";"     -23";"   -0.10";"   23724"
"107497";"GM1714";"2015MM04";"   23724";"      17";"      19";"      65";"      35";"      30";"      66";"      48";"      18";"";"      -3";"   -0.01";"     -26";"   -0.11";"   23721"
"107498";"GM1714";"2015MM05";"   23721";"      21";"      24";"      57";"      37";"      20";"      69";"      46";"      23";"";"     -15";"   -0.06";"     -41";"   -0.17";"   23706"
"107499";"GM1714";"2015MM06";"   23706";"       9";"      24";"      73";"      51";"      22";"      45";"      32";"      13";"";"      13";"    0.05";"     -28";"   -0.12";"   23719"
"107500";"GM1714";"2015MM07";"   23719";"      12";"      17";"      71";"      41";"      30";"      63";"      44";"      19";"";"       3";"    0.01";"     -25";"   -0.11";"   23722"
"107501";"GM1714";"2015MM08";"   23722";"      28";"      17";"      72";"      43";"      29";"      86";"      68";"      18";"";"      -3";"   -0.01";"     -28";"   -0.12";"   23719"
"107502";"GM1714";"2015MM09";"   23719";"      16";"      21";"      67";"      37";"      30";"      93";"      67";"      26";"";"     -31";"   -0.13";"     -59";"   -0.25";"   23688"
"107503";"GM1714";"2015MM10";"   23688";"      11";"      40";"      54";"      32";"      22";"      82";"      66";"      16";"";"     -57";"   -0.24";"    -116";"   -0.49";"   23631"
"107504";"GM1714";"2015MM11";"   23631";"       8";"      24";"      70";"      48";"      22";"      59";"      41";"      18";"";"      -5";"   -0.02";"    -121";"   -0.51";"   23626"
"107505";"GM1714";"2015MM12";"   23626";"      18";"      27";"      71";"      41";"      30";"      50";"      30";"      20";"       1";"      13";"    0.06";"    -108";"   -0.45";"   23639"
"107506";"GM1714";"2015JJ00";"   23747";"     185";"     315";"     797";"     497";"     300";"     776";"     559";"     217";"       1";"    -108";"   -0.45";"    -108";"   -0.45";"   23639"
"107507";"GM1714";"2016MM01";"   23639";"      14";"      29";"      87";"      46";"      41";"      53";"      39";"      14";"";"      19";"    0.08";"      19";"    0.08";"   23658"
"107508";"GM1714";"2016MM02";"   23658";"      12";"      21";"     100";"      60";"      40";"      56";"      37";"      19";"";"      35";"    0.15";"      54";"    0.23";"   23693"
"107509";"GM1714";"2016MM03";"   23693";"      11";"      15";"      67";"      44";"      23";"      52";"      40";"      12";"";"      11";"    0.05";"      65";"    0.27";"   23704"
"107510";"GM1714";"2016MM04";"   23704";"      12";"      21";"      73";"      42";"      31";"      54";"      36";"      18";"";"      10";"    0.04";"      75";"    0.32";"   23714"
"107511";"GM1714";"2016MM05";"   23714";"      15";"      25";"      67";"      56";"      11";"      55";"      35";"      20";"";"       2";"    0.01";"      77";"    0.33";"   23716"
"107512";"GM1714";"2016MM06";"   23716";"      16";"      24";"      71";"      49";"      22";"      43";"      29";"      14";"";"      20";"    0.08";"      97";"    0.41";"   23736"
"107513";"GM1714";"2016MM07";"   23736";"       8";"      17";"      93";"      50";"      43";"      81";"      61";"      20";"";"       3";"    0.01";"     100";"    0.42";"   23739"
"107514";"GM1714";"2016MM08";"   23739";"      15";"      24";"      99";"      56";"      43";"      98";"      80";"      18";"";"      -8";"   -0.03";"      92";"    0.39";"   23731"
"107515";"GM1714";"2016MM09";"   23731";"       6";"      22";"      85";"      44";"      41";"     103";"      79";"      24";"";"     -34";"   -0.14";"      58";"    0.25";"   23697"
"107516";"GM1714";"2016MM10";"   23697";"      16";"      26";"      68";"      40";"      28";"      67";"      49";"      18";"";"      -9";"   -0.04";"      49";"    0.21";"   23688"
"107517";"GM1714";"2016MM11";"   23688";"      14";"      20";"      47";"      24";"      23";"      67";"      44";"      23";"";"     -26";"   -0.11";"      23";"    0.10";"   23662"
"107518";"GM1714";"2016MM12";"   23662";"      12";"      26";"      82";"      49";"      33";"      72";"      33";"      39";"       0";"      -4";"   -0.02";"      19";"    0.08";"   23658"
"107519";"GM1714";"2016JJ00";"   23639";"     151";"     270";"     939";"     560";"     379";"     801";"     562";"     239";"       0";"      19";"    0.08";"      19";"    0.08";"   23658"
"107520";"GM1714";"2017MM01";"   23658";"      14";"      38";"      84";"      48";"      36";"      81";"      61";"      20";"";"     -21";"   -0.09";"     -21";"   -0.09";"   23637"
"107521";"GM1714";"2017MM02";"   23637";"      18";"      24";"      76";"      48";"      28";"      54";"      37";"      17";"";"      16";"    0.07";"      -5";"   -0.02";"   23653"
"107522";"GM1714";"2017MM03";"   23653";"      11";"      22";"      90";"      65";"      25";"      63";"      48";"      15";"";"      16";"    0.07";"      11";"    0.05";"   23669"
"107523";"GM1714";"2017MM04";"   23669";"      15";"      25";"      55";"      38";"      17";"      72";"      57";"      15";"";"     -27";"   -0.11";"     -16";"   -0.07";"   23642"
"107524";"GM1714";"2017MM05";"   23642";"      10";"      25";"      82";"      47";"      35";"      51";"      38";"      13";"";"      16";"    0.07";"       0";"    0.00";"   23658"
"107525";"GM1714";"2017MM06";"   23658";"      16";"      33";"      49";"      27";"      22";"      73";"      33";"      40";"";"     -41";"   -0.17";"     -41";"   -0.17";"   23617"
"107526";"GM1714";"2017MM07";"   23617";"      19";"      31";"      49";"      30";"      19";"      62";"      50";"      12";"";"     -25";"   -0.11";"     -66";"   -0.28";"   23592"
"107527";"GM1714";"2017MM08";"   23592";"      20";"      18";"      94";"      60";"      34";"      78";"      56";"      22";"";"      18";"    0.08";"     -48";"   -0.20";"   23610"
"107528";"GM1714";"2017MM09";"   23610";"      18";"      24";"      78";"      55";"      23";"      86";"      68";"      18";"";"     -14";"   -0.06";"     -62";"   -0.26";"   23596"
"107529";"GM1714";"2017MM10";"   23596";"      17";"      26";"      59";"      23";"      36";"      86";"      54";"      32";"";"     -36";"   -0.15";"     -98";"   -0.41";"   23560"
"107530";"GM1714";"2017MM11";"   23560";"      13";"      25";"      62";"      34";"      28";"      58";"      41";"      17";"";"      -8";"   -0.03";"    -106";"   -0.45";"   23552"
"107531";"GM1714";"2017MM12";"   23552";"      16";"      25";"      43";"      29";"      14";"      58";"      41";"      17";"      -2";"     -26";"   -0.11";"    -132";"   -0.56";"   23526"
"107532";"GM1714";"2017JJ00";"   23658";"     187";"     316";"     821";"     504";"     317";"     822";"     584";"     238";"      -2";"    -132";"   -0.56";"    -132";"   -0.56";"   23526"
"107533";"GM1714";"2018MM01";"   23526";"      13";"      33";"      77";"      38";"      39";"      81";"      62";"      19";"";"     -24";"   -0.10";"     -24";"   -0.10";"   23502"
"107534";"GM1714";"2018MM02";"   23502";"      12";"      31";"      85";"      43";"      42";"      66";"      46";"      20";"";"       0";"    0.00";"     -24";"   -0.10";"   23502"
"107535";"GM1714";"2018MM03";"   23502";"      11";"      29";"      85";"      58";"      27";"      50";"      33";"      17";"";"      17";"    0.07";"      -7";"   -0.03";"   23519"
"107536";"GM1714";"2018MM04";"   23519";"       8";"      13";"      48";"      26";"      22";"      55";"      37";"      18";"";"     -12";"   -0.05";"     -19";"   -0.08";"   23507"
"107537";"GM1714";"2018MM05";"   23507";"      14";"      28";"      79";"      43";"      36";"      48";"      25";"      23";"";"      17";"    0.07";"      -2";"   -0.01";"   23524"
"107538";"GM1714";"2018MM06";"   23524";"       8";"      21";"      72";"      44";"      28";"      66";"      43";"      23";"";"      -7";"   -0.03";"      -9";"   -0.04";"   23517"
"107539";"GM1714";"2018MM07";"   23517";"      15";"      17";"      76";"      43";"      33";"      65";"      41";"      24";"";"       9";"    0.04";"       0";"    0.00";"   23526"
"107540";"GM1714";"2018MM08";"   23526";"      10";"      17";"      71";"      36";"      35";"     103";"      69";"      34";"";"     -39";"   -0.17";"     -39";"   -0.17";"   23487"
"107541";"GM1714";"2018MM09";"   23487";"       9";"      16";"      58";"      41";"      17";"      90";"      62";"      28";"";"     -39";"   -0.17";"     -78";"   -0.33";"   23448"
"107542";"GM1714";"2018MM10";"   23448";"      13";"      29";"      54";"      32";"      22";"      76";"      53";"      23";"";"     -38";"   -0.16";"    -116";"   -0.49";"   23410"
"107543";"GM1714";"2018MM11";"   23410";"       9";"      21";"      72";"      47";"      25";"      64";"      46";"      18";"";"      -4";"   -0.02";"    -120";"   -0.51";"   23406"
"107544";"GM1714";"2018MM12";"   23406";"      14";"      23";"      53";"      36";"      17";"      59";"      33";"      26";"       0";"     -15";"   -0.06";"    -135";"   -0.57";"   23391"
"107545";"GM1714";"2018JJ00";"   23526";"     136";"     278";"     830";"     487";"     343";"     823";"     550";"     273";"       0";"    -135";"   -0.57";"    -135";"   -0.57";"   23391"
"107546";"GM1714";"2019MM01";"   23391";"      12";"      35";"      46";"      27";"      19";"      91";"      64";"      27";"";"     -68";"   -0.29";"     -68";"   -0.29";"   23323"
"107547";"GM1714";"2019MM02";"   23323";"      15";"      15";"      55";"      37";"      18";"      60";"      37";"      23";"";"      -5";"   -0.02";"     -73";"   -0.31";"   23318"
"107548";"GM1714";"2019MM03";"   23318";"      13";"      23";"      62";"      38";"      24";"      75";"      53";"      22";"";"     -23";"   -0.10";"     -96";"   -0.41";"   23295"
"107549";"GM1714";"2019MM04";"   23295";"      10";"      24";"      79";"      44";"      35";"      57";"      33";"      24";"";"       8";"    0.03";"     -88";"   -0.38";"   23303"
